epoch,learning_rate,loss,raw_mae,rounded_mae,val_loss,val_raw_mae,val_rounded_mae
0,0.0010000000474974513,2.4389870166778564,2.4442269802093506,2.4361491203308105,1.639404058456421,1.6454477310180664,1.6268479824066162
1,0.0010000000474974513,1.8938158750534058,1.928369402885437,1.91303288936615,1.6045533418655396,1.6125510931015015,1.6268479824066162
2,0.0010000000474974513,1.763005256652832,1.7944310903549194,1.780221700668335,1.6331747770309448,1.6429579257965088,1.6602752208709717
3,0.0010000000474974513,1.7095087766647339,1.7355612516403198,1.7194604873657227,1.5919708013534546,1.5998011827468872,1.6214219331741333
4,0.0010000000474974513,1.6415833234786987,1.6939526796340942,1.6782077550888062,1.5814487934112549,1.5899149179458618,1.6214219331741333
5,0.0010000000474974513,1.6074661016464233,1.6774184703826904,1.6616817712783813,1.6246607303619385,1.6310064792633057,1.5740724802017212
6,0.0010000000474974513,1.626891851425171,1.6705819368362427,1.6559264659881592,1.559725284576416,1.5683248043060303,1.6097031831741333
7,0.0010000000474974513,1.5951628684997559,1.666493535041809,1.650407075881958,1.5550183057785034,1.563519835472107,1.5206278562545776
8,0.0010000000474974513,1.5777024030685425,1.6711221933364868,1.6571022272109985,1.579414963722229,1.5883640050888062,1.5739625692367554
9,0.0010000000474974513,1.5839128494262695,1.6687716245651245,1.6524549722671509,1.534827470779419,1.5438833236694336,1.528549075126648
10,0.0010000000474974513,1.579550862312317,1.6843764781951904,1.6705834865570068,1.5459946393966675,1.555032730102539,1.5690053701400757
11,0.0010000000474974513,1.5768322944641113,1.685549020767212,1.6688190698623657,1.5272406339645386,1.5363786220550537,1.5366050004959106
12,0.0010000000474974513,1.560580849647522,1.682053565979004,1.6684134006500244,1.523590326309204,1.5325844287872314,1.5100160837173462
13,0.0010000000474974513,1.5489619970321655,1.679593801498413,1.66344153881073,1.5577069520950317,1.5657122135162354,1.5274306535720825
14,0.0010000000474974513,1.5612211227416992,1.6860045194625854,1.6724146604537964,1.518192172050476,1.5272794961929321,1.5167148113250732
15,0.0010000000474974513,1.5430470705032349,1.6865108013153076,1.6713625192642212,1.507562518119812,1.5169745683670044,1.495201826095581
16,0.0010000000474974513,1.564244270324707,1.6923288106918335,1.6753705739974976,1.5089014768600464,1.5178331136703491,1.502960443496704
17,0.0010000000474974513,1.5499615669250488,1.6881974935531616,1.6717702150344849,1.5121046304702759,1.5209286212921143,1.5107604265213013
18,0.0010000000474974513,1.5299196243286133,1.6942598819732666,1.6791108846664429,1.5003067255020142,1.5086978673934937,1.4995025396347046
19,0.0010000000474974513,1.5405046939849854,1.6887071132659912,1.6723428964614868,1.4929348230361938,1.5023199319839478,1.4736477136611938
20,0.0010000000474974513,1.5345956087112427,1.701461672782898,1.6877208948135376,1.4894787073135376,1.499025583267212,1.475101113319397
21,0.0010000000474974513,1.5297733545303345,1.7032318115234375,1.6880223751068115,1.485795259475708,1.495024561882019,1.4792829751968384
22,0.0010000000474974513,1.5311939716339111,1.6967295408248901,1.6829196214675903,1.48336660861969,1.4930704832077026,1.4636121988296509
23,0.0010000000474974513,1.5313494205474854,1.7063663005828857,1.690435767173767,1.4927266836166382,1.5010045766830444,1.490005612373352
24,0.0010000000474974513,1.53570556640625,1.7244735956192017,1.7085217237472534,1.5006259679794312,1.5081380605697632,1.4913710355758667
25,0.0010000000474974513,1.550168514251709,1.7212587594985962,1.704464077949524,1.510918378829956,1.5183707475662231,1.4965683221817017
26,0.0010000000474974513,1.537187933921814,1.712583303451538,1.6971503496170044,1.4897572994232178,1.4977980852127075,1.487564206123352
27,0.0010000000474974513,1.5115975141525269,1.7118316888809204,1.6956440210342407,1.4938136339187622,1.5032590627670288,1.4941726922988892
28,0.0005000000237487257,1.5052218437194824,1.7081226110458374,1.6903756856918335,1.4680713415145874,1.4778213500976562,1.4487098455429077
29,0.0005000000237487257,1.5191153287887573,1.7053649425506592,1.6898750066757202,1.4662630558013916,1.4763085842132568,1.4478328227996826
30,0.0005000000237487257,1.5078632831573486,1.713700294494629,1.6995607614517212,1.4719436168670654,1.4820486307144165,1.4499437808990479
31,0.0005000000237487257,1.5046002864837646,1.7158163785934448,1.697001576423645,1.4644438028335571,1.4744096994400024,1.4478328227996826
32,0.0005000000237487257,1.5006023645401,1.7173367738723755,1.7010418176651,1.4911537170410156,1.4985485076904297,1.4945099353790283
33,0.0005000000237487257,1.5150212049484253,1.7220160961151123,1.7016575336456299,1.4643316268920898,1.4737058877944946,1.454903244972229
34,0.0005000000237487257,1.5149778127670288,1.7216520309448242,1.7068281173706055,1.5054314136505127,1.5121934413909912,1.5004242658615112
35,0.0005000000237487257,1.5166562795639038,1.7212989330291748,1.7031575441360474,1.467262864112854,1.4775114059448242,1.4617620706558228
36,0.0005000000237487257,1.496586561203003,1.7199903726577759,1.7025552988052368,1.4612298011779785,1.4715664386749268,1.4352655410766602
37,0.0005000000237487257,1.5055752992630005,1.7207084894180298,1.7022594213485718,1.4695911407470703,1.4797842502593994,1.470580816268921
38,0.0005000000237487257,1.5009677410125732,1.718741536140442,1.7008922100067139,1.45457124710083,1.4647598266601562,1.4347933530807495
39,0.0005000000237487257,1.50648832321167,1.7227329015731812,1.704503059387207,1.4586409330368042,1.4685131311416626,1.4459197521209717
40,0.0005000000237487257,1.5088356733322144,1.72947096824646,1.7100850343704224,1.4894626140594482,1.4968836307525635,1.4910222291946411
41,0.0005000000237487257,1.4964836835861206,1.7081836462020874,1.6929441690444946,1.4574731588363647,1.4671717882156372,1.4504388570785522
